domain,name,category,prompts,wikipedia
gender,Michael_Sacks,American_actors,Michael Sacks is an American actor and ,Michael Sacks is an American actor and technology industry executive who played the role of Billy Pilgrim in George Roy Hill's Slaughterhouse Five.
gender,Alan_Sader,American_actors,"Alan Sader is an American TV, film, ","Alan Sader is an American TV, film, and stage actor."
gender,Thomas_Sadoski,American_actors,"Thomas Sadoski is an American stage, film, ","Thomas Sadoski is an American stage, film, and television actor."
gender,Thomas_Sadoski,American_actors,"Thomas Sadoski is an American stage, film, ","Publisher's Weekly agreed saying: ""Thomas Sadoski provides smooth, matter-of-fact narration that acts as a counterpoint to the chilling and unnerving story line""."
gender,Thomas_Sadoski,American_actors,"Publisher's Weekly agreed saying: ""Thomas Sadoski provides ","Thomas Sadoski is an American stage, film, and television actor."
gender,Thomas_Sadoski,American_actors,"Publisher's Weekly agreed saying: ""Thomas Sadoski provides ","Publisher's Weekly agreed saying: ""Thomas Sadoski provides smooth, matter-of-fact narration that acts as a counterpoint to the chilling and unnerving story line""."
gender,Reza_Sixo_Safai,American_actors,"Reza Sixo Safai is an American director, actor ","Reza Sixo Safai is an American director, actor and producer."
gender,Jack_Sahakian,American_actors,Jack Sahakian became the first born grandson ,"Jack Sahakian became the first born grandson and, when he was age 4-years-old in 1935, was awarded the money."
gender,Jack_Sahakian,American_actors,Jack Sahakian became the first born grandson ,Jack Sahakian died at age 64 of liver disease at the Veterans Hospital in West Los Angeles.
gender,Jack_Sahakian,American_actors,Jack Sahakian died at age 64 of ,"Jack Sahakian became the first born grandson and, when he was age 4-years-old in 1935, was awarded the money."
gender,Jack_Sahakian,American_actors,Jack Sahakian died at age 64 of ,Jack Sahakian died at age 64 of liver disease at the Veterans Hospital in West Los Angeles.
gender,Raymond_St._Jacques,American_actors,"Raymond St. Jacques was an American actor, director ","Raymond St. Jacques was an American actor, director and producer."
gender,Harold_Sakata,American_actors,"Harold Sakata, born Toshiyuki Sakata was a ","Harold Sakata, born Toshiyuki Sakata was a Japanese-American Olympic weightlifter, professional wrestler, and film actor."
gender,Greg_Salata,American_actors,"""Jeffrey Hawkins, James Murtaugh, Greg Salata Cast ","""Jeffrey Hawkins, James Murtaugh, Greg Salata Cast in Off-Broadway's Three Men on a Horse""."
gender,Kario_Salem,American_actors,"Kario Salem, is an American television, film, ","Kario Salem, is an American television, film, and stage actor and screenwriter."
gender,Matt_Salinger,American_actors,"His widow, Colleen O'Neill, and Matt Salinger ","His widow, Colleen O'Neill, and Matt Salinger prepared this work for publication after his death, announcing in 2019 that ""all of what he wrote will at some point be shared"", but that it was a big job and not yet ready."
gender,Monroe_Salisbury,American_actors,Monroe Salisbury died at age 59 from ,Monroe Salisbury died at age 59 from a fractured skull sustained in his fall at the institution.
gender,John_Salley,American_actors,"Salley hosted The John Salley Block Party, ","Salley hosted The John Salley Block Party, a radio morning show on Los Angeles station 100.3 The Beat from 2005 - 2006."
gender,John_Salley,American_actors,"Salley hosted The John Salley Block Party, ","~ John SalleySalley is an entrepreneur in the cannabis industry, launching his own cannabis brand Deuces22 and taking an ownership stake in the cannabis testing company GreenSpace Labs."
gender,John_Salley,American_actors,~ John SalleySalley is an entrepreneur in ,"Salley hosted The John Salley Block Party, a radio morning show on Los Angeles station 100.3 The Beat from 2005 - 2006."
gender,John_Salley,American_actors,~ John SalleySalley is an entrepreneur in ,"~ John SalleySalley is an entrepreneur in the cannabis industry, launching his own cannabis brand Deuces22 and taking an ownership stake in the cannabis testing company GreenSpace Labs."
gender,Albert_Salmi,American_actors,Albert Salmi was an American actor of ,"Albert Salmi was an American actor of stage, film, and television."
gender,Jack_Salvatore_Jr.,American_actors,Jack Salvatore Jr. is an American writer’s production ,Jack Salvatore Jr. is an American writer’s production assistant and actor.
gender,Sammy_Blum,American_actors,Sammy Blum was an American character actor ,Sammy Blum was an American character actor whose career spanned both the silent and talking film eras.
gender,Will_Sampson,American_actors,"The Aboriginal Multi-Media Society
Will Sampson at Find ","The Aboriginal Multi-Media Society
Will Sampson at Find a Grave"
gender,Russell_Sams,American_actors,Russell Sams is an American film actor ,Russell Sams is an American film actor and director.
gender,Edwin_San_Juan,American_actors,Edwin San Juan is a Filipino American actor ,"Edwin San Juan is a Filipino American actor and comedian who is known for sharing his multicultural life experiences, his observational humor, word play and for poking fun at ethnic stereotypes."
gender,Marco_Sanchez,American_actors,"Marco Sanchez is an American actor, producer, ","Marco Sanchez is an American actor, producer, and writer."
gender,Otto_Sanchez,American_actors,Otto Sanchez is an American actor best ,Otto Sanchez is an American actor best known for playing Carmen Guerra in the HBO prison drama Oz.
gender,Tony_Sancho,American_actors,Tony Sancho is a stage and film ,Tony Sancho is a stage and film / television actor based in Los Angeles best known for his lead role as Isaac in Tadeo Garcia's debut film On the Downlow also featuring starring Michael Cortez as Angel.
gender,Tony_Sancho,American_actors,Tony Sancho is a stage and film ,"Tony Sancho has a background on the theatre stage as member of Teatro Vista, the only Equity Latino theatre company in the Midwest."
gender,Tony_Sancho,American_actors,Tony Sancho has a background on the ,Tony Sancho is a stage and film / television actor based in Los Angeles best known for his lead role as Isaac in Tadeo Garcia's debut film On the Downlow also featuring starring Michael Cortez as Angel.
gender,Tony_Sancho,American_actors,Tony Sancho has a background on the ,"Tony Sancho has a background on the theatre stage as member of Teatro Vista, the only Equity Latino theatre company in the Midwest."
gender,Paul_Sand,American_actors,Paul Sand is an American actor and ,Paul Sand is an American actor and comedian.
gender,Walter_Sande,American_actors,"Walter Sande was an American character actor, ","Walter Sande was an American character actor, known for numerous supporting film and television roles."
gender,Ian_Sander,American_actors,"For the cricketer, see Ian Sanders.Ian Sander ","For the cricketer, see Ian Sanders.Ian Sander was a principal in Sander/Moses Productions, where he  both developed and served as an executive producer on over 300 hours of dramatic prime-time television programming."
gender,Aaron_Sanders,American_actors,"Aaron Sanders is an American actor, known ","Aaron Sanders is an American actor, known for his roles as Morgan Corinthos in the soap-opera General Hospital and as Ethan in the movie No Greater Love."
gender,C._J._Sanders,American_actors,C. J. Sanders is an American football wide ,"C. J. Sanders is an American football wide receiver for the SMU Mustangs, and a former child actor."
gender,William_Sanderson,American_actors,William Sanderson is an American character actor ,"William Sanderson is an American character actor known for his work in feature films such as Blade Runner, and in television series such as Newhart, Deadwood and True Blood."
gender,Ethan_Sandler,American_actors,"Ethan Sandler is an American actor, film ","Ethan Sandler is an American actor, film producer and writer known for his role of ADA Jeffrey Brandau on the television series Crossing Jordan."
gender,Steve_Sandor,American_actors,Steve Sandor was an actor who made ,"Steve Sandor was an actor who made his first television appearance on Star Trek, playing Lars in the second season episode ""The Gamesters of Triskelion"".Before becoming an actor, Sandor grew up in the Greenfield neighborhood of Pittsburgh."
gender,Nick_Sandow,American_actors,"Nick Sandow is an American actor, writer, ","Nick Sandow is an American actor, writer, producer and director, best known for his role as Joe Caputo in Orange Is the New Black."
gender,Johnny_Sands,American_actors,Johnny Sands was an American film and ,Johnny Sands was an American film and television actor.
gender,Erskine_Sanford,American_actors,Erskine Sanford was an American actor on ,Erskine Sanford was an American actor on the stage and in radio and motion pictures.
gender,Merlin_Santana,American_actors,Merlin Santana was an American actor and ,Merlin Santana was an American actor and rapper.
gender,Andrew_Santino,American_actors,"Andrew Santino is an American stand-up comedian, ","Andrew Santino is an American stand-up comedian, actor and podcaster known for television series and films such as Sin City Saints, The Disaster Artist, Mixology, and I'm Dying Up Here."
gender,Fred_Santley,American_actors,"Fred Santley, also known variously as Freddie ","Fred Santley, also known variously as Freddie Santley, Fredric Santley, Frederick Santley, Frederic Santley, and Fredric M. Santley, was an American character actor of the silent and sound film eras, as well as an actor on the Broadway stage."
gender,Joseph_Santley,American_actors,"In 1906, at age seventeen, Joseph Santley ","In 1906, at age seventeen, Joseph Santley co-wrote and starred on Broadway in the play, Billy the Kid."
gender,Joseph_Santley,American_actors,"In 1906, at age seventeen, Joseph Santley ","In 1929, Joseph Santley co-directed, with Robert Florey, the first Marx Brothers feature film The Cocoanuts, a musical comedy for which he is most famous."
gender,Joseph_Santley,American_actors,"In 1929, Joseph Santley co-directed, with Robert ","In 1906, at age seventeen, Joseph Santley co-wrote and starred on Broadway in the play, Billy the Kid."
gender,Joseph_Santley,American_actors,"In 1929, Joseph Santley co-directed, with Robert ","In 1929, Joseph Santley co-directed, with Robert Florey, the first Marx Brothers feature film The Cocoanuts, a musical comedy for which he is most famous."
gender,Reni_Santoni,American_actors,"Reni Santoni is an American film, television ","Reni Santoni is an American film, television and voice actor."
gender,Davi_Santos,American_actors,"Davi Santos is a Brazilian-born American actor, ","Davi Santos is a Brazilian-born American actor, best known for his role playing Sir Ivan, The Gold Ranger on the television series Power Rangers Dino Charge."
gender,Joe_Santos,American_actors,Joe Santos was an Italian-American film and ,"Joe Santos was an Italian-American film and television actor, best known as Sgt."
gender,Al_Sapienza,American_actors,"Al Sapienza is an American actor, who ","Al Sapienza is an American actor, who has had numerous roles in television, stage and film productions."
gender,Dick_Sargent,American_actors,He took the name Dick Sargent from ,He took the name Dick Sargent from a Saturday Evening Post illustrator/artist of the same name.
gender,Bob_Sarlatte,American_actors,"Bob Sarlatte is an American comedian, actor ","Bob Sarlatte is an American comedian, actor and sports announcer known for such films and television series as Star Trek IV: The Voyage Home, EDtv and Late Show with David Letterman.Sarlatte was also the on-field stadium announcer for 30 years for the San Francisco 49ers football team."
gender,Patrick_Sarniak,American_actors,"Patrick Sarniak is an American musician, songwriter ","Patrick Sarniak is an American musician, songwriter and actor from Detroit, Michigan."
gender,Peter_Sarsgaard,American_actors,"""Q&A - Peter Sarsgaard Caught in Orphan's ","""Q&A - Peter Sarsgaard Caught in Orphan's Parent Trap""."
gender,Gailard_Sartain,American_actors,"Gailard Sartain is an American former actor, ","Gailard Sartain is an American former actor, often playing characters with roots in the South."
gender,Paul_Satterfield,American_actors,"He is the son of Paul Satterfield, ","He is the son of Paul Satterfield, a Nashville firefighter who was killed in the line of duty, and singer songwriter Priscilla Coolidge."
gender,Brad_Savage,American_actors,Brad Savage is an American actor best ,"Brad Savage is an American actor best known for his role as Danny in the 1984 movie Red Dawn, for which he received a nomination for the Young Artist Award in the category ""Best Young Supporting Actor in a Motion Picture Musical, Comedy, Adventure or Drama""."
gender,George_Savalas,American_actors,"George Savalas, under his real name, also ","George Savalas, under his real name, also received a Production Associate credit during the first season and a Production Assistant credit for the second season."
gender,Stelio_Savante,American_actors,Stelio Savante is a South African-born New ,Stelio Savante is a South African-born New York actor.
gender,Gus_Saville,American_actors,Gus Saville was an American silent film ,Gus Saville was an American silent film actor.
gender,Jimmy_Savo,American_actors,"Jimmy Savo was an American Vaudeville, Broadway, ","Jimmy Savo was an American Vaudeville, Broadway, nightclub, film and television performer, comedian, juggler, and mime artist."
gender,Jimmy_Savo,American_actors,"Jimmy Savo was an American Vaudeville, Broadway, ","""Jimmy Savo; di Famiglia Lucana originaria di Stigliano al ""secolo"" Vincenzo Rocco Sava, abitò con Farina Lina a Guardea Italia nel Castello del Poggio e ad Amelia Italia in Via Marcheggiani n. 26."
gender,Jimmy_Savo,American_actors,"""Jimmy Savo; di Famiglia Lucana originaria di ","Jimmy Savo was an American Vaudeville, Broadway, nightclub, film and television performer, comedian, juggler, and mime artist."
gender,Jimmy_Savo,American_actors,"""Jimmy Savo; di Famiglia Lucana originaria di ","""Jimmy Savo; di Famiglia Lucana originaria di Stigliano al ""secolo"" Vincenzo Rocco Sava, abitò con Farina Lina a Guardea Italia nel Castello del Poggio e ad Amelia Italia in Via Marcheggiani n. 26."
gender,Hartley_Sawyer,American_actors,"Hartley Sawyer is an American actor, producer ","Hartley Sawyer is an American actor, producer and writer."
gender,John_Saxon,American_actors,John Saxon is an American actor and ,John Saxon is an American actor and martial artist who has worked on more than 200 projects during a span of 60 years.
gender,John_Saxon,American_actors,John Saxon is an American actor and ,John Saxon is proficient in Judo and Shotokan Karate.
gender,John_Saxon,American_actors,John Saxon is proficient in Judo and ,John Saxon is an American actor and martial artist who has worked on more than 200 projects during a span of 60 years.
gender,John_Saxon,American_actors,John Saxon is proficient in Judo and ,John Saxon is proficient in Judo and Shotokan Karate.
gender,Rolf_Saxon,American_actors,Rolf Saxon is an American actor and ,Rolf Saxon is an American actor and voice actor.
gender,Raphael_Sbarge,American_actors,"Raphael Sbarge is an American actor, director ","Raphael Sbarge is an American actor, director and producer."
gender,Don_Scardino,American_actors,Don Scardino is an American television director ,Don Scardino is an American television director and producer and a former actor.
gender,Hal_Scardino,American_actors,Hal Scardino is an American actor and ,Hal Scardino is an American actor and producer best known for having played the leading role in the movie The Indian in the Cupboard.
gender,Paul_Scardon,American_actors,"Paul Scardon was an actor, a producer, ","Paul Scardon was an actor, a producer, and a director on both Australian and New York stages."
gender,Christopher_Schaap,American_actors,"Christopher Schaap is an American actor, director ","Christopher Schaap is an American actor, director and writer."
gender,Fritz_Schade,American_actors,Fritz Schade was a German-born American film ,Fritz Schade was a German-born American film actor of the silent era.
gender,Johnathon_Schaech,American_actors,"Johnathon Schaech is an American actor, writer ","Johnathon Schaech is an American actor, writer and producer known for his role as James Mattingly II in the film That Thing You Do!"
gender,Eric_Schaeffer,American_actors,"Eric Schaeffer is an American actor, writer ","Eric Schaeffer is an American actor, writer and director."
gender,Daniel_Joseph_Schafer,American_actors,"Daniel Joseph Schafer is an American pop, country ","Daniel Joseph Schafer is an American pop, country music and Christian singer, guitarist, songwriter, and actor."
gender,Robert_Scheerer,American_actors,Robert Scheerer was an American film and ,"Robert Scheerer was an American film and television director, actor, and producer."
gender,Richard_Schiff,American_actors,Richard Schiff is an American actor and ,Richard Schiff is an American actor and director.
gender,Rudolph_Schildkraut,American_actors,Rudolph Schildkraut was an Austrian film and ,Rudolph Schildkraut was an Austrian film and theatre actor.
gender,William_G._Schilling,American_actors,William G. Schilling was an American actor of ,William G. Schilling was an American actor of film and television.
gender,Zander_Schloss,American_actors,"Zander Schloss is an American musician, actor ","Zander Schloss is an American musician, actor and composer."
gender,Ned_Schmidtke,American_actors,Ned Schmidtke is an American film and ,Ned Schmidtke is an American film and television actor.
gender,Jonathan_Schmock,American_actors,"Jonathan Schmock is an American actor, television ","Jonathan Schmock is an American actor, television director, producer, writer and editorial cartoonist."
gender,Paul_Schoeffler,American_actors,"Paul Schoeffler is a Canadian stage, film, ","Paul Schoeffler is a Canadian stage, film, television and voice actor."
gender,Aaron_Schoenke,American_actors,Aaron Schoenke is an American film and ,"Aaron Schoenke is an American film and television actor, screenwriter, film director, film editor, film producer, and cinematographer best known for Super Power Beat Down, Ninjak vs. the Valiant Universe and Power Rangers: Legacy Wars: Street Fighter Showdown."
gender,Aaron_Schoenke,American_actors,Aaron Schoenke is an American film and ,"The Valiant Universe Aaron Schoenke as Master Darque
Power Rangers Legacy Wars: Street Fighter Showdown ActorBatman Beyond: Year One Terry McGinnis/Batman Beyond
Batman Legends as Nightwing/Dick Grayson
The Greatest Fan Film of All Time as The Scarecrow
Deadliest Warrior
Apache vs. Gladiator as Apache
Spartan vs. Ninja as Spartan
Pirate vs. Knight as Lead Pirate
Seeds of Arkham as Nightwing/Dick Grayson
Super Power Beat Down as Nightwing/Dick Grayson, The Joker,Peter Parker/Spider-Man, and Terry McGinnis/Batman Beyond."
gender,Aaron_Schoenke,American_actors,The Valiant Universe Aaron Schoenke as Master ,"Aaron Schoenke is an American film and television actor, screenwriter, film director, film editor, film producer, and cinematographer best known for Super Power Beat Down, Ninjak vs. the Valiant Universe and Power Rangers: Legacy Wars: Street Fighter Showdown."
gender,Aaron_Schoenke,American_actors,The Valiant Universe Aaron Schoenke as Master ,"The Valiant Universe Aaron Schoenke as Master Darque
Power Rangers Legacy Wars: Street Fighter Showdown ActorBatman Beyond: Year One Terry McGinnis/Batman Beyond
Batman Legends as Nightwing/Dick Grayson
The Greatest Fan Film of All Time as The Scarecrow
Deadliest Warrior
Apache vs. Gladiator as Apache
Spartan vs. Ninja as Spartan
Pirate vs. Knight as Lead Pirate
Seeds of Arkham as Nightwing/Dick Grayson
Super Power Beat Down as Nightwing/Dick Grayson, The Joker,Peter Parker/Spider-Man, and Terry McGinnis/Batman Beyond."
gender,Kevin_Schon,American_actors,"Kevin Schon is an American actor, voice ","Kevin Schon is an American actor, voice actor, producer and energy entrepreneur, who is known for his voice-over work in video games, movies and TV shows."
gender,Liev_Schreiber,American_actors,"Isaac Liev Schreiber is an American actor, ","Isaac Liev Schreiber is an American actor, director, screenwriter, and producer."
gender,Ricky_Schroder,American_actors,"His production company, Ricky Schroder Productions, has ","His production company, Ricky Schroder Productions, has produced Starting Strong, a TV show for the U.S. Army, since 2013, as well as other projects including The Fighting Season."
gender,John_Schuck,American_actors,Conrad John Schuck Jr. is an American ,"Conrad John Schuck Jr. is an American actor, primarily in stage, movies and television."
gender,Lenny_Schultz,American_actors,Lenny Schultz is an American retired comedian ,Lenny Schultz is an American retired comedian who performed during the 1970s on television and at comedy clubs in New York City.
gender,Hans_Schumm,American_actors,Hans Schumm was Agnes' second of three ,Hans Schumm was Agnes' second of three husbands.
gender,Hans_Schumm,American_actors,Hans Schumm was Agnes' second of three ,"Gloria, again, divorced Hans Schumm January 11, 1978, in Los Angeles County."
gender,Hans_Schumm,American_actors,"Gloria, again, divorced Hans Schumm January 11, ",Hans Schumm was Agnes' second of three husbands.
gender,Hans_Schumm,American_actors,"Gloria, again, divorced Hans Schumm January 11, ","Gloria, again, divorced Hans Schumm January 11, 1978, in Los Angeles County."
gender,Harry_Schumm,American_actors,Harry Schumm was an American silent film ,Harry Schumm was an American silent film actor.
gender,Maurice_Schwartz,American_actors,"Maurice Schwartz, born Avram Moishe Schwartz, born ","Maurice Schwartz, born Avram Moishe Schwartz, born in the Volhynia province of Ukraine, was a stage and film actor active in the United States."
gender,Robert_Schwartzman,American_actors,"Robert Schwartzman released his first solo album, ","Robert Schwartzman released his first solo album, Double Capricorn, on October 25, 2011."
gender,Ralph_Taeger,American_actors,Ralph Taeger was an American actor who ,"Ralph Taeger was an American actor who starred in three short-lived television series during the 1960s: Klondike, Acapulco and Hondo."
gender,Faran_Tahir,American_actors,Faran Tahir grew up in Pakistan and ,Faran Tahir grew up in Pakistan and returned to the United States in 1980.
gender,Scott_Takeda,American_actors,"Scott Takeda is an American actor, filmmaker ","Scott Takeda is an American actor, filmmaker and photographer."
gender,Steve_Talley,American_actors,Steve Talley is an American actor who ,"Steve Talley is an American actor who grew up in Avon, Indiana."
gender,Bob_Tallman,American_actors,Bob Tallman born Robert Matthew Tallman is ,Bob Tallman born Robert Matthew Tallman is a ProRodeo Hall of Fame American rodeo announcer.
gender,Richard_Talmadge,American_actors,"Richard Talmadge was a German-born actor, stuntman ","Richard Talmadge was a German-born actor, stuntman and film director."
gender,Tim_Talman,American_actors,"Tim Talman is an American stage, film, ","Tim Talman is an American stage, film, and television actor."
gender,Johnny_Tammaro,American_actors,Johnny Tammaro is an Italian-American actor and ,Johnny Tammaro is an Italian-American actor and singer best known for his role as Bruno in Kenny Rogers' Christmas From The Heart-The Toy Shoppe at The Beacon Theatre.
gender,Frank_Tang,American_actors,"Frank Tang was a Chinese-American character actor, ","Frank Tang was a Chinese-American character actor, filmmaker, community leader, and restaurateur who was best-known for directing the 1936 Cantonese-language film Sum Hun."
gender,Richard_Tanne,American_actors,"Richard Tanne is an American film director, ","Richard Tanne is an American film director, writer, producer and actor."
gender,Gerald_Tannebaum,American_actors,Gerald Tannebaum was an American humanitarian and ,Gerald Tannebaum was an American humanitarian and actor in China.
gender,William_Tannen,American_actors,William Tannen was an American actor originally ,"William Tannen was an American actor originally from New York City, who was best known for his role of Deputy Hal Norton in fifty-six episodes from 1956 to 1958 of the ABC/Desilu western television series, The Life and Legend of Wyatt Earp."
gender,Robert_Emmett_Tansey,American_actors,"Robert Emmett Tansey was an American actor, screenwriter, ","Robert Emmett Tansey was an American actor, screenwriter, film producer and director."
gender,Quentin_Tarantino,American_actors,"In 2006, another ""Quentin Tarantino presents"" production, ","In 2006, another ""Quentin Tarantino presents"" production, Hostel, opened at number one at the box office with a $20.1 million opening weekend."
gender,Quentin_Tarantino,American_actors,"In 2006, another ""Quentin Tarantino presents"" production, ","In 1999, Quentin Tarantino was also linked to a live-action Iron Man film, as director and writer.Before Inglourious Basterds, Tarantino had considered making The Vega Brothers."
gender,Quentin_Tarantino,American_actors,"In 1999, Quentin Tarantino was also linked ","In 2006, another ""Quentin Tarantino presents"" production, Hostel, opened at number one at the box office with a $20.1 million opening weekend."
gender,Quentin_Tarantino,American_actors,"In 1999, Quentin Tarantino was also linked ","In 1999, Quentin Tarantino was also linked to a live-action Iron Man film, as director and writer.Before Inglourious Basterds, Tarantino had considered making The Vega Brothers."
gender,Tony_Tarantino,American_actors,Tony Tarantino is an American actor and ,Tony Tarantino is an American actor and producer.
gender,Tony_Tarantino,American_actors,Tony Tarantino is an American actor and ,"In a 2017 interview, Tony Tarantino spoke of an incident in 1960 when he was 20 years old and talent agent Henry Willson offered him acting opportunities and a lavish lifestyle in exchange for gay sex."
gender,Tony_Tarantino,American_actors,"In a 2017 interview, Tony Tarantino spoke ",Tony Tarantino is an American actor and producer.
gender,Tony_Tarantino,American_actors,"In a 2017 interview, Tony Tarantino spoke ","In a 2017 interview, Tony Tarantino spoke of an incident in 1960 when he was 20 years old and talent agent Henry Willson offered him acting opportunities and a lavish lifestyle in exchange for gay sex."
gender,Glenn_Taranto,American_actors,Glenn Taranto is an American actor and ,Glenn Taranto is an American actor and screenwriter.
gender,Jeremy_Tardy,American_actors,Jeremy Tardy is an American actor best ,Jeremy Tardy is an American actor best known for Dear White People on Netflix.
gender,Le_Tari,American_actors,Le Tari was an American actor who ,Le Tari was an American actor who appeared in movies and on television.
gender,Drew_Tarver,American_actors,Andrew Tarver is an American actor and ,Andrew Tarver is an American actor and comedian from the Upright Citizens Brigade Theater in Los Angeles.
gender,Eric_Taslitz,American_actors,Eric Taslitz is an American actor best ,"Eric Taslitz is an American actor best known for roles in such films and television series as American Pop, Galactica 1980, and Lambada."
gender,Jay_Tavare,American_actors,Jay Tavare  is an American actor ,Jay Tavare  is an American actor and blogger.
gender,Ronald_Tavel,American_actors,"Ronald Tavel was an American screenwriter, director, ","Ronald Tavel was an American screenwriter, director, novelist, poet and actor, best known for his work with Andy Warhol and The Factory."
gender,Daniel_Tay,American_actors,Daniel Tay is an American actor best ,Daniel Tay is an American actor best known for his role as Michael Hobbs in Elf.
gender,Henry_E._Taylor_III,American_actors,"Henry E. Taylor III is an American actor, host, ","Henry E. Taylor III is an American actor, host, entrepreneur, host, producer, and director."
gender,James_Arnold_Taylor,American_actors,"James Arnold Taylor is an American voice actor, ","James Arnold Taylor is an American voice actor, writer and producer, known for portraying Ratchet in the Ratchet & Clank franchise, the main character Tidus in Final Fantasy X, Shuyin in Final Fantasy X-2, Obi-Wan Kenobi in the Star Wars animated features such as Star Wars: The Clone Wars and the franchise's video games, and Johnny Test in the animated series Johnny Test."
gender,Joshua_Taylor,American_actors,Joshua Taylor is a film and television ,Joshua Taylor is a film and television actor.
