,domain,name,category,prompts,wikipedia
3693,political_ideology,Jewish_left,left-wing,The Jewish left consists of Jews who ,"The Jewish left consists of Jews who identify with, or support, left-wing or liberal causes, consciously as Jews, either as individuals or through organizations."
3694,political_ideology,Jewish_left,left-wing,The Jewish left consists of Jews who ,"In World War II, the Jewish left played a major part in resistance to Nazism."
3695,political_ideology,Jewish_left,left-wing,"In World War II, the Jewish left ","The Jewish left consists of Jews who identify with, or support, left-wing or liberal causes, consciously as Jews, either as individuals or through organizations."
3696,political_ideology,Jewish_left,left-wing,"In World War II, the Jewish left ","In World War II, the Jewish left played a major part in resistance to Nazism."
3697,political_ideology,Left_communism,left-wing,"Left communism, or the communist left, is ","Left communism, or the communist left, is a position held by the left wing of communism, which criticises the political ideas and practices espoused by Marxist–Leninists and social democrats."
3698,political_ideology,Left_communism,left-wing,"Left communism, or the communist left, is ","Proponents of left communism have included Amadeo Bordiga, Onorato Damen, Jacques Camatte, Herman Gorter, Antonie Pannekoek, Otto Rühle, Sylvia Pankhurst and Paul Mattick."
3699,political_ideology,Left_communism,left-wing,Proponents of left communism have included Amadeo ,"Left communism, or the communist left, is a position held by the left wing of communism, which criticises the political ideas and practices espoused by Marxist–Leninists and social democrats."
3700,political_ideology,Left_communism,left-wing,Proponents of left communism have included Amadeo ,"Proponents of left communism have included Amadeo Bordiga, Onorato Damen, Jacques Camatte, Herman Gorter, Antonie Pannekoek, Otto Rühle, Sylvia Pankhurst and Paul Mattick."
3701,political_ideology,Left-wing_terrorism,left-wing,"Left-wing terrorism or far-left terrorism, sometimes called ","Left-wing terrorism or far-left terrorism, sometimes called Marxist–Leninist  terrorism or revolutionary/left-wing terrorism, is terrorism meant to overthrow capitalist systems and replace them with Marxist–Leninist or socialist societies."
3702,political_ideology,Left-wing_terrorism,left-wing,"Left-wing terrorism or far-left terrorism, sometimes called ",Left-wing terrorism also occurs within already socialist states as activism against the current ruling government.
3703,political_ideology,Left-wing_terrorism,left-wing,Left-wing terrorism also occurs within already socialist ,"Left-wing terrorism or far-left terrorism, sometimes called Marxist–Leninist  terrorism or revolutionary/left-wing terrorism, is terrorism meant to overthrow capitalist systems and replace them with Marxist–Leninist or socialist societies."
3704,political_ideology,Left-wing_terrorism,left-wing,Left-wing terrorism also occurs within already socialist ,Left-wing terrorism also occurs within already socialist states as activism against the current ruling government.
3705,political_ideology,Old_Left,left-wing,The Old Left is the pre-1960s left-wing ,"The Old Left is the pre-1960s left-wing in the Western world, the earlier leftist or Marxist movements that had often taken a more vanguardist approach to social justice and focused mostly on labor unionization and questions of social class in the West."
3706,political_ideology,Old_Left,left-wing,The Old Left is the pre-1960s left-wing ,"Unlike today's new left, the old left promoted an immigration policy that would keep the country ethnically homogeneous."
3707,political_ideology,Old_Left,left-wing,"Unlike today's new left, the old left ","The Old Left is the pre-1960s left-wing in the Western world, the earlier leftist or Marxist movements that had often taken a more vanguardist approach to social justice and focused mostly on labor unionization and questions of social class in the West."
3708,political_ideology,Old_Left,left-wing,"Unlike today's new left, the old left ","Unlike today's new left, the old left promoted an immigration policy that would keep the country ethnically homogeneous."
3709,political_ideology,Anti-Stalinist_left,left-wing,The anti-Stalinist left comprises various kinds of ,"The anti-Stalinist left comprises various kinds of left-wing politics opposing Joseph Stalin, Stalinism and the actual system of governance Stalin implemented as dictator of the Soviet Union between 1927–1953."
3710,political_ideology,Anti-Stalinist_left,left-wing,The anti-Stalinist left comprises various kinds of ,An anti-Stalinist left emerged in the former Soviet bloc in the early 1990s.
3711,political_ideology,Anti-Stalinist_left,left-wing,An anti-Stalinist left emerged in the former ,"The anti-Stalinist left comprises various kinds of left-wing politics opposing Joseph Stalin, Stalinism and the actual system of governance Stalin implemented as dictator of the Soviet Union between 1927–1953."
3712,political_ideology,Anti-Stalinist_left,left-wing,An anti-Stalinist left emerged in the former ,An anti-Stalinist left emerged in the former Soviet bloc in the early 1990s.
3713,political_ideology,New_Left,left-wing,The New Left was a broad political ,"The New Left was a broad political movement mainly in the 1960s and 1970s consisting of activists in the Western world who campaigned for a broad range of social issues such as civil and political rights, feminism, gay rights, abortion rights, gender roles and drug policy reforms."
3714,political_ideology,New_Left,left-wing,The New Left was a broad political ,"Some saw the New Left as an oppositional reaction to earlier Marxist and labor union movements for social justice that focused on dialectical materialism and social class, while others who used the term saw the movement as a continuation and revitalization of traditional leftist goals.Some who self-identified as ""New Left"" rejected involvement with the labor movement and Marxism's historical theory of class struggle, although others gravitated to their own takes on established forms of Marxism, such as the New Communist movement in the United States or the K-Gruppen in the German Sprachraum."
3715,political_ideology,New_Left,left-wing,Some saw the New Left as an ,"The New Left was a broad political movement mainly in the 1960s and 1970s consisting of activists in the Western world who campaigned for a broad range of social issues such as civil and political rights, feminism, gay rights, abortion rights, gender roles and drug policy reforms."
3716,political_ideology,New_Left,left-wing,Some saw the New Left as an ,"Some saw the New Left as an oppositional reaction to earlier Marxist and labor union movements for social justice that focused on dialectical materialism and social class, while others who used the term saw the movement as a continuation and revitalization of traditional leftist goals.Some who self-identified as ""New Left"" rejected involvement with the labor movement and Marxism's historical theory of class struggle, although others gravitated to their own takes on established forms of Marxism, such as the New Communist movement in the United States or the K-Gruppen in the German Sprachraum."
3717,political_ideology,Left_Shachtmanism,left-wing,A more current term for Left Shachtmanism ,"A more current term for Left Shachtmanism is Third Camp Trotskyism, the Third Camp being differentiated from capitalism and Stalinism."
3718,political_ideology,New_Left_in_China,left-wing,The ambiguity of the term New Left in China ,The ambiguity of the term New Left in China arises from its breadth.
3719,political_ideology,New_Left_in_Japan,left-wing,The New Left in Japan refers to a 1960s ,"The New Left in Japan refers to a 1960s Japanese movement that adopted the radical political thought of the Western New Left, breaking from the established Old Left of the Japanese Communist Party and Japan Socialist Party."
3720,political_ideology,Left_Opposition,left-wing,The Left Opposition was a faction within ,The Left Opposition was a faction within the Bolshevik Party from 1923 to 1927 headed de facto by Leon Trotsky.
3721,political_ideology,Left_Opposition,left-wing,The Left Opposition was a faction within ,The Left Opposition formed as part of the power struggle within the party leadership that began with the Soviet founder Vladimir Lenin's illness and intensified with his death in January 1924.
3722,political_ideology,Left_Opposition,left-wing,The Left Opposition formed as part of ,The Left Opposition was a faction within the Bolshevik Party from 1923 to 1927 headed de facto by Leon Trotsky.
3723,political_ideology,Left_Opposition,left-wing,The Left Opposition formed as part of ,The Left Opposition formed as part of the power struggle within the party leadership that began with the Soviet founder Vladimir Lenin's illness and intensified with his death in January 1924.
3724,political_ideology,Far-left_politics_in_the_United_Kingdom,left-wing,Far-left politics in the United Kingdom have existed since at least ,"Far-left politics in the United Kingdom have existed since at least the late 19th century, with the formation of various organisations following ideologies such as revolutionary socialism, anarchism and syndicalism."
3725,political_ideology,French_Left,left-wing,The early French Left was often alienated ,The early French Left was often alienated into the Republican movements.
3726,political_ideology,Left-wing_fascism,left-wing,Left-wing fascism and left fascism are sociological ,Left-wing fascism and left fascism are sociological and philosophical terms used to categorize tendencies in left-wing politics otherwise commonly attributed to the ideology of fascism.
3727,political_ideology,Left-wing_fascism,left-wing,Left-wing fascism and left fascism are sociological ,"Horowitz claimed that ""left-wing fascism"" emerged again in the United States political life during the 1980s in the form of a refusal to disengage radical rhetoric from totalitarian reality.In the late 20th and early 21st centuries, the term left fascism has been used to describe unusual hybrid political alliances."
3728,political_ideology,Left-wing_fascism,left-wing,"Horowitz claimed that ""left-wing fascism"" emerged again ",Left-wing fascism and left fascism are sociological and philosophical terms used to categorize tendencies in left-wing politics otherwise commonly attributed to the ideology of fascism.
3729,political_ideology,Left-wing_fascism,left-wing,"Horowitz claimed that ""left-wing fascism"" emerged again ","Horowitz claimed that ""left-wing fascism"" emerged again in the United States political life during the 1980s in the form of a refusal to disengage radical rhetoric from totalitarian reality.In the late 20th and early 21st centuries, the term left fascism has been used to describe unusual hybrid political alliances."
3730,political_ideology,Regressive_left,left-wing,Regressive left is a pejorative term for ,"Regressive left is a pejorative term for a branch of left-wing politics that are accused of holding views that conflict with liberal principles, especially tolerating Islamism.British political activist Maajid Nawaz, American political talk-show hosts such as Bill Maher and Dave Rubin, and New Atheist writers like Sam Harris and Richard Dawkins are among those who have used the term."
3731,political_ideology,Regressive_left,left-wing,Regressive left is a pejorative term for ,"In addition, Boghossian believes that ""regressive leftists"" have become ""hyper-moralists"" and champions of their perceived victims."
3732,political_ideology,Regressive_left,left-wing,"In addition, Boghossian believes that ""regressive leftists"" ","Regressive left is a pejorative term for a branch of left-wing politics that are accused of holding views that conflict with liberal principles, especially tolerating Islamism.British political activist Maajid Nawaz, American political talk-show hosts such as Bill Maher and Dave Rubin, and New Atheist writers like Sam Harris and Richard Dawkins are among those who have used the term."
3733,political_ideology,Regressive_left,left-wing,"In addition, Boghossian believes that ""regressive leftists"" ","In addition, Boghossian believes that ""regressive leftists"" have become ""hyper-moralists"" and champions of their perceived victims."
3734,political_ideology,Historical_Left,left-wing,"The Left group, later called Historical Left ","The Left group, later called Historical Left by historians to distinguish it from the left-wing groups of the 20th century, was a liberal and reformist parliamentary group in Italy during the second half of the 19th century."
3735,political_ideology,Left-wing_nationalism,left-wing,"Left-wing nationalism or leftist nationalism, also known ","Left-wing nationalism or leftist nationalism, also known as social nationalism and referred to as nationalist socialism or socialist nationalism, is a form of nationalism based upon social equality, popular sovereignty and national self-determination."
3736,political_ideology,Left-wing_nationalism,left-wing,"Left-wing nationalism or leftist nationalism, also known ","Left-wing nationalism can also include anti-imperialism and national liberation movements.Left-wing nationalism stands in contrast to right-wing politics and right-wing nationalism, often rejecting ethno-nationalism to this same end, although some forms of leftist nationalism have included a platform of racialism, favoring a homogeneous society, a rejection of minorities and opposition to immigration.Notable left-wing nationalist movements have included Subhas Chandra Bose's Indian National Army which promoted independence of India from Britain; Quebec nationalism and the Parti Québécois, Québec solidaire and Bloc québécois; the Mukti Bahini in Bangladesh; Sinn Féin, an Irish republican party; Basque nationalism and the EH Bildu coalition; the Catalan independence movement; the Galician nationalism and Galician Nationalist Bloc party; the League of Communists of Yugoslavia; the Malay Nationalist Party of Malaysia; the African National Congress of South Africa under Nelson Mandela; the 26th of July Movement in Cuba; Labor Zionism in Israel and the Vietcong in Vietnam."
3737,political_ideology,Left-wing_nationalism,left-wing,Left-wing nationalism can also include anti-imperialism and ,"Left-wing nationalism or leftist nationalism, also known as social nationalism and referred to as nationalist socialism or socialist nationalism, is a form of nationalism based upon social equality, popular sovereignty and national self-determination."
3738,political_ideology,Left-wing_nationalism,left-wing,Left-wing nationalism can also include anti-imperialism and ,"Left-wing nationalism can also include anti-imperialism and national liberation movements.Left-wing nationalism stands in contrast to right-wing politics and right-wing nationalism, often rejecting ethno-nationalism to this same end, although some forms of leftist nationalism have included a platform of racialism, favoring a homogeneous society, a rejection of minorities and opposition to immigration.Notable left-wing nationalist movements have included Subhas Chandra Bose's Indian National Army which promoted independence of India from Britain; Quebec nationalism and the Parti Québécois, Québec solidaire and Bloc québécois; the Mukti Bahini in Bangladesh; Sinn Féin, an Irish republican party; Basque nationalism and the EH Bildu coalition; the Catalan independence movement; the Galician nationalism and Galician Nationalist Bloc party; the League of Communists of Yugoslavia; the Malay Nationalist Party of Malaysia; the African National Congress of South Africa under Nelson Mandela; the 26th of July Movement in Cuba; Labor Zionism in Israel and the Vietcong in Vietnam."
3739,political_ideology,Left-wing_populism,left-wing,"Left-wing populism, also called inclusionary populism and ","Left-wing populism, also called inclusionary populism and social populism, is a political ideology that combines left-wing politics and populist rhetoric and themes."
3740,political_ideology,Party_of_the_European_Left,left-wing,"The Party of the European Left, commonly abbreviated European Left, ","The Party of the European Left, commonly abbreviated European Left, is a European political party that operates as an association of democratic socialist and communist political parties in the European Union and other European countries."
3741,political_ideology,Italian_Left,left-wing,Italian Left is a left-wing political party ,Italian Left is a left-wing political party in Italy.
3742,political_ideology,Left_Bloc,left-wing,The Left Blocʃˈkeɾdɐ]) is a left-wing political ,The Left Blocʃˈkeɾdɐ]) is a left-wing political party in Portugal founded in 1999.
3743,political_ideology,Left_Bloc,left-wing,The Left Blocʃˈkeɾdɐ]) is a left-wing political ,"On 10 November 2015, the Left Bloc signed an agreement with the Socialist Party that is aimed at identifying convergence issues, while also recognizing their differences."
3744,political_ideology,Left_Bloc,left-wing,"On 10 November 2015, the Left Bloc ",The Left Blocʃˈkeɾdɐ]) is a left-wing political party in Portugal founded in 1999.
3745,political_ideology,Left_Bloc,left-wing,"On 10 November 2015, the Left Bloc ","On 10 November 2015, the Left Bloc signed an agreement with the Socialist Party that is aimed at identifying convergence issues, while also recognizing their differences."
3746,political_ideology,Spiritual_left,left-wing,Spiritual left refers to a spiritually or ,"Spiritual left refers to a spiritually or religiously based position that shares the social transformative vision of the left and its commitment to social justice, peace, economic equality, and ecological consciousness, but who base their commitment on spiritual or religious traditions."
3747,political_ideology,Spiritual_left,left-wing,Spiritual left refers to a spiritually or ,"Two present-day examples of spiritual leftism are Jim Wallis, editor of Sojourners magazine, who finds a call for peace and for the elimination of poverty in the Christian Gospel and Rabbi Michael Lerner, editor of Tikkun magazine, calling for a ""New Bottom Line"" where productivity, efficiency and rationality would be judged not only in material terms, but also in terms of love, generosity, peace, social justice, ecological sanity and awe and wonder at the grandeur of the universe."
3748,political_ideology,Spiritual_left,left-wing,Two present-day examples of spiritual leftism are ,"Spiritual left refers to a spiritually or religiously based position that shares the social transformative vision of the left and its commitment to social justice, peace, economic equality, and ecological consciousness, but who base their commitment on spiritual or religious traditions."
3749,political_ideology,Spiritual_left,left-wing,Two present-day examples of spiritual leftism are ,"Two present-day examples of spiritual leftism are Jim Wallis, editor of Sojourners magazine, who finds a call for peace and for the elimination of poverty in the Christian Gospel and Rabbi Michael Lerner, editor of Tikkun magazine, calling for a ""New Bottom Line"" where productivity, efficiency and rationality would be judged not only in material terms, but also in terms of love, generosity, peace, social justice, ecological sanity and awe and wonder at the grandeur of the universe."
3750,political_ideology,Christian_left,left-wing,The Christian left is a range of ,The Christian left is a range of center-left and left-wing Christian political and social movements that largely embrace social justice viewpoints and uphold a social gospel.
3751,political_ideology,Christian_left,left-wing,The Christian left is a range of ,Some Christian leftists have socially conservative views on social issues but lean left on economic issues.
3752,political_ideology,Christian_left,left-wing,Some Christian leftists have socially conservative views ,The Christian left is a range of center-left and left-wing Christian political and social movements that largely embrace social justice viewpoints and uphold a social gospel.
3753,political_ideology,Christian_left,left-wing,Some Christian leftists have socially conservative views ,Some Christian leftists have socially conservative views on social issues but lean left on economic issues.
3754,political_ideology,Evangelical_left,left-wing,"Typically, members of the evangelical left affirm ","Typically, members of the evangelical left affirm the primary tenets of evangelical theology, such as the doctrines of the incarnation, atonement, and resurrection, and also see the Bible as the primary authority for the Church."
3755,political_ideology,Evangelical_left,left-wing,"Typically, members of the evangelical left affirm ","While members of the evangelical left chiefly reside in mainline denominations, they are often heavily influenced by the Anabaptist social tradition."
3756,political_ideology,Evangelical_left,left-wing,While members of the evangelical left chiefly ,"Typically, members of the evangelical left affirm the primary tenets of evangelical theology, such as the doctrines of the incarnation, atonement, and resurrection, and also see the Bible as the primary authority for the Church."
3757,political_ideology,Evangelical_left,left-wing,While members of the evangelical left chiefly ,"While members of the evangelical left chiefly reside in mainline denominations, they are often heavily influenced by the Anabaptist social tradition."
3758,political_ideology,American_Left,left-wing,The American Left consists of individuals and ,"The American Left consists of individuals and groups that have sought egalitarian changes in the economic, political and cultural institutions of the United States.Various subgroups with a national scope are active."
3759,political_ideology,American_Left,left-wing,The American Left consists of individuals and ,"However, many elements of the American Left are affiliated with the Democratic Party."
3760,political_ideology,American_Left,left-wing,"However, many elements of the American Left ","The American Left consists of individuals and groups that have sought egalitarian changes in the economic, political and cultural institutions of the United States.Various subgroups with a national scope are active."
3761,political_ideology,American_Left,left-wing,"However, many elements of the American Left ","However, many elements of the American Left are affiliated with the Democratic Party."
3762,political_ideology,Historical_Far_Left,left-wing,"The Historical Far Left, originally known as Far ","The Historical Far Left, originally known as Far Left, Radical Extreme, simply The Extreme, or Party of Democracy, was a parliamentary group and coalition of Radical, Republican and Socialist politicians in Italy during the second half of the 19th century."
3763,political_ideology,Democratic_Left_Alliance,left-wing,Democratic Left Alliance is a social-democratic political party ,Democratic Left Alliance is a social-democratic political party in Poland.
3764,political_ideology,Left_Socialist-Revolutionaries,left-wing,The Party of Left Socialist-Revolutionaries was a ,The Party of Left Socialist-Revolutionaries was a revolutionary socialist political party formed during the Russian Revolution.
3765,political_ideology,Left-wing_uprisings_against_the_Bolsheviks,left-wing,"The left-wing uprisings against the Bolsheviks, known in anarchist literature ","The left-wing uprisings against the Bolsheviks, known in anarchist literature as the Third Russian Revolution, were a series of rebellions, uprisings, and revolts against the Bolsheviks by oppositional left-wing organizations and groups that started soon after the October Revolution, continued through the years of the Russian Civil War, and lasted into the first years of Bolshevik reign of the Soviet Union."
3766,political_ideology,Chinese_New_Left,left-wing,The Chinese New Left is a school of ,The Chinese New Left is a school of political thought in China that criticizes capitalism and some aspects of Chinese economic reform.
3767,political_ideology,Chinese_New_Left,left-wing,The Chinese New Left is a school of ,"Other members of the Chinese New Left, particularly since the Great Recession, have rejected the centrality of human rights and universal values in general."
3768,political_ideology,Chinese_New_Left,left-wing,"Other members of the Chinese New Left, particularly ",The Chinese New Left is a school of political thought in China that criticizes capitalism and some aspects of Chinese economic reform.
3769,political_ideology,Chinese_New_Left,left-wing,"Other members of the Chinese New Left, particularly ","Other members of the Chinese New Left, particularly since the Great Recession, have rejected the centrality of human rights and universal values in general."
3770,political_ideology,List_of_left-wing_rebel_groups,left-wing,This is a list of left-wing rebel groups around the ,This is a list of left-wing rebel groups around the world.
3771,political_ideology,Centre-right_politics,right-wing,"Centre-right politics or center-right politics, also referred ","Centre-right politics or center-right politics, also referred to as moderate-right politics, are politics that lean to the right of the left–right political spectrum, but are closer to the centre than other right-wing politics."
3772,political_ideology,Centre-right_politics,right-wing,"Centre-right politics or center-right politics, also referred ",Thatcher publicly supported centre-right politics and supported its spread in Eastern Europe after the end of the Marxist-Leninist regimes in the late 1980s and early 1990s.
3773,political_ideology,Centre-right_politics,right-wing,Thatcher publicly supported centre-right politics and supported ,"Centre-right politics or center-right politics, also referred to as moderate-right politics, are politics that lean to the right of the left–right political spectrum, but are closer to the centre than other right-wing politics."
3774,political_ideology,Centre-right_politics,right-wing,Thatcher publicly supported centre-right politics and supported ,Thatcher publicly supported centre-right politics and supported its spread in Eastern Europe after the end of the Marxist-Leninist regimes in the late 1980s and early 1990s.
3775,political_ideology,Right-wing_politics,right-wing,Right-wing politics holds the view that certain ,"Right-wing politics holds the view that certain social orders and hierarchies are inevitable, natural, normal, or desirable, typically supporting this position on the basis of natural law, economics, or tradition."
3776,political_ideology,Far-right_politics,right-wing,"Far-right politics, also referred to as the ","Far-right politics, also referred to as the extreme right or right-wing extremism, are politics further on the right of the left–right political spectrum than the standard political right, particularly in terms of extreme nationalism, nativist ideologies and authoritarian tendencies.Historically used to describe the experiences of fascism and Nazism, today far-right politics includes neo-fascism, neo-Nazism, Third Position, the alt-right, white nationalism, and other ideologies or organizations that feature aspects of ultranationalist, chauvinist, xenophobic, theocratic, racist, homophobic, anti-communist, or reactionary views.Far-right politics can lead to oppression, violence, forced assimilation, ethnic cleansing and even genocide against groups of people based on their supposed inferiority, or their perceived threat to the native ethnic group, nation, state, national religion, dominant culture, or ultra-conservative traditional social institutions."
3777,political_ideology,Right_Opposition,right-wing,"The Right Opposition or Right Tendency, in ","The Right Opposition or Right Tendency, in VKP(b) was a conditional label formulated by Stalin in fall of 1928 in regards the opposition against certain measures included within the First five-year plan by Nikolai Bukharin, Alexei Rykov, Mikhail Tomsky and their supporters within the Soviet Union that did not follow the so called ""general line of the party""."
3778,political_ideology,Right_Opposition,right-wing,"The Right Opposition or Right Tendency, in ","Right Opposition policies encouraging kulaks and NEPmen to ""get rich"" were seen by Right Opposition supporters as encouraging kulaks and NEPmen to ""grow into"" socialism.Alexander has questioned whether the various Right Oppositions could be described as a single international tendency, since they were usually concerned only with the issues relevant for their own countries and their own Communist Parties."
3779,political_ideology,Right_Opposition,right-wing,Right Opposition policies encouraging kulaks and NEPmen ,"The Right Opposition or Right Tendency, in VKP(b) was a conditional label formulated by Stalin in fall of 1928 in regards the opposition against certain measures included within the First five-year plan by Nikolai Bukharin, Alexei Rykov, Mikhail Tomsky and their supporters within the Soviet Union that did not follow the so called ""general line of the party""."
3780,political_ideology,Right_Opposition,right-wing,Right Opposition policies encouraging kulaks and NEPmen ,"Right Opposition policies encouraging kulaks and NEPmen to ""get rich"" were seen by Right Opposition supporters as encouraging kulaks and NEPmen to ""grow into"" socialism.Alexander has questioned whether the various Right Oppositions could be described as a single international tendency, since they were usually concerned only with the issues relevant for their own countries and their own Communist Parties."
3781,political_ideology,Right-wing_authoritarianism,right-wing,Right-wing authoritarianism is an ideological variable studied ,"Right-wing authoritarianism is an ideological variable studied in political, social and personality psychology."
3782,political_ideology,Right-wing_authoritarianism,right-wing,Right-wing authoritarianism is an ideological variable studied ,"Right-wing authoritarianism is characterized by obedience to authority, moral absolutism and punitiveness towards dissidents and deviants."
3783,political_ideology,Right-wing_authoritarianism,right-wing,Right-wing authoritarianism is characterized by obedience to ,"Right-wing authoritarianism is an ideological variable studied in political, social and personality psychology."
3784,political_ideology,Right-wing_authoritarianism,right-wing,Right-wing authoritarianism is characterized by obedience to ,"Right-wing authoritarianism is characterized by obedience to authority, moral absolutism and punitiveness towards dissidents and deviants."
3785,political_ideology,Right-wing_dictatorship,right-wing,A right-wing dictatorship is an authoritarian regime ,A right-wing dictatorship is an authoritarian regime following right-wing policies.
3786,political_ideology,Right-wing_dictatorship,right-wing,A right-wing dictatorship is an authoritarian regime ,"Some right-wing dictatorships, like the Nazi Germany, were even openly hostile to certain religions."
3787,political_ideology,Right-wing_dictatorship,right-wing,"Some right-wing dictatorships, like the Nazi Germany, ",A right-wing dictatorship is an authoritarian regime following right-wing policies.
3788,political_ideology,Right-wing_dictatorship,right-wing,"Some right-wing dictatorships, like the Nazi Germany, ","Some right-wing dictatorships, like the Nazi Germany, were even openly hostile to certain religions."
3789,political_ideology,Right-wing_terrorism,right-wing,Right-wing terrorism or far-right terrorism is terrorism ,"Right-wing terrorism or far-right terrorism is terrorism that is motivated by a variety of different right-wing and far-right ideologies, most prominently by neo-Nazism, neo-fascism, ecofascism, white nationalism, white separatism, ethnonationalism, religious nationalism, and anti-government patriot/sovereign citizen beliefs and occasionally by anti-abortion and tax resistance."
3790,political_ideology,Right-wing_terrorism,right-wing,Right-wing terrorism or far-right terrorism is terrorism ,"Modern right-wing terrorism first emerged in North America during the Reconstruction era and it later emerged in Western and Central Europe in the 1970s, and following the dissolution of the Soviet Union in 1991, it emerged in Eastern Europe.Right-wing terrorists aim to overthrow governments and replace them with nationalist and/or fascist regimes."
3791,political_ideology,Right-wing_terrorism,right-wing,Modern right-wing terrorism first emerged in North ,"Right-wing terrorism or far-right terrorism is terrorism that is motivated by a variety of different right-wing and far-right ideologies, most prominently by neo-Nazism, neo-fascism, ecofascism, white nationalism, white separatism, ethnonationalism, religious nationalism, and anti-government patriot/sovereign citizen beliefs and occasionally by anti-abortion and tax resistance."
3792,political_ideology,Right-wing_terrorism,right-wing,Modern right-wing terrorism first emerged in North ,"Modern right-wing terrorism first emerged in North America during the Reconstruction era and it later emerged in Western and Central Europe in the 1970s, and following the dissolution of the Soviet Union in 1991, it emerged in Eastern Europe.Right-wing terrorists aim to overthrow governments and replace them with nationalist and/or fascist regimes."
3793,political_ideology,Christian_right,right-wing,The Christian right or the religious right ,The Christian right or the religious right are Christian political factions that are characterized by their strong support of socially conservative policies.
3794,political_ideology,Christian_right,right-wing,The Christian right or the religious right ,The Christian right draws additional support from politically conservative mainline Protestants and members of the Church of Jesus Christ of Latter-Day Saints.
3795,political_ideology,Christian_right,right-wing,The Christian right draws additional support from ,The Christian right or the religious right are Christian political factions that are characterized by their strong support of socially conservative policies.
3796,political_ideology,Christian_right,right-wing,The Christian right draws additional support from ,The Christian right draws additional support from politically conservative mainline Protestants and members of the Church of Jesus Christ of Latter-Day Saints.
3797,political_ideology,New_Right,right-wing,New Right is a term for various ,New Right is a term for various right-wing political groups or policies in different countries.
3798,political_ideology,New_Right,right-wing,New Right is a term for various ,"The politicians favouring New Right ideology were referred to as ""dries"", while those advocating continuation of the economic policies of the post-war consensus, typically Keynesian economics, or were more socially liberal, were called ""wets""."
3799,political_ideology,New_Right,right-wing,The politicians favouring New Right ideology were ,New Right is a term for various right-wing political groups or policies in different countries.
3800,political_ideology,New_Right,right-wing,The politicians favouring New Right ideology were ,"The politicians favouring New Right ideology were referred to as ""dries"", while those advocating continuation of the economic policies of the post-war consensus, typically Keynesian economics, or were more socially liberal, were called ""wets""."
3801,political_ideology,Right-wing_populism,right-wing,"Right-wing populism, also called national populism and ","Right-wing populism, also called national populism and right-wing nationalism, is a political ideology which combines right-wing politics and populist rhetoric and themes."
3802,political_ideology,Right-wing_populism,right-wing,"Right-wing populism, also called national populism and ","Both right-wing populism and left-wing populism object to the perceived control of liberal democracies by elites; however, populism of the left also objects to the power of large corporations and their allies, while populism of the right normally supports strong controls on immigration.In Europe, the term right-wing populism is used to describe groups, politicians and political parties that are generally known for their opposition to immigration, especially from the Islamic world, and for Euroscepticism."
3803,political_ideology,Right-wing_populism,right-wing,Both right-wing populism and left-wing populism object ,"Right-wing populism, also called national populism and right-wing nationalism, is a political ideology which combines right-wing politics and populist rhetoric and themes."
